unique_id,user_id,username,followers_count,following_count,tweet_id,tweet_text,tweet_created_at,conversation_id,reply_id,author_id,author_username,author_gender,author_location,reply_text,reply_created_at,sentiment,positive_score,neutral_score,negative_score,retweet_count,like_count,reply_count,quote_count,bookmark_count,impression_count,file_created_date,score,sentiment_desc
b511719b-9d74-4f62-8af7-b2051b9a3690,438152067,otvnews,1303277,255,1744301395464044991,Balasore pips Delhi! #Odisha’s air quality plummets as 6 towns register AQI more than 300 https://t.co/esL17ObKtR,2024-01-08 15:43:54,1744301395464044991,1744305663667585204,811870734637117440,suryaki89023562,N/A,N/A,Hele kono helaa mo. Amo pandiyan sobbu air theek koridebo.. South ru sobbu lokko asibbe aau samaan bhi,2024-01-08 16:00:52,neutral,0.14,0.83,0.02,2,34,2,0,0,3188,2024-01-08 17:53:04,8.299999999999999,Neutral
f586bfb8-7738-449c-9460-801c968e55b1,438152067,otvnews,1303277,255,1744301395464044991,Balasore pips Delhi! #Odisha’s air quality plummets as 6 towns register AQI more than 300 https://t.co/esL17ObKtR,2024-01-08 15:43:54,1744301395464044991,1744302217589637494,57263671,pratikprasenjit,N/A,"Noida, India",@mohapatra_rr,2024-01-08 15:47:10,neutral,0.26,0.73,0.02,2,34,2,0,0,3188,2024-01-08 17:53:04,7.3,Positively Neutral
d0ecd637-c0af-44b9-9246-24f4f9d8a526,438152067,otvnews,1303277,255,1744290523391930825,"Hi-Tech tragedy: Chhatra Congress activists hurl eggs at #Odisha Health Minister’s house 

https://t.co/bKLrbvRoD5",2024-01-08 15:00:42,1744290523391930825,1744292004597830126,1385121387606528001,NikitaDash1111,N/A,N/A,ଆଉ କଣ ଜାଣିଛ କି 😜,2024-01-08 15:06:35,neutral,0.31,0.64,0.05,1,13,1,0,0,1489,2024-01-08 17:53:04,6.4,Positively Neutral
